วันที่,รหัสหวย,รางวัลทั้งหมด,4ตัวบน,3ตัวบน,2ตัวล่าง
2026-05-04,NKY_2,,,,
2026-05-04,SET,,,,
2026-05-04,TAIEX,,,,
2026-05-04,KTOP30,,,,
2026-05-04,SZSE_2,,,,
2026-05-04,HSI_2,,,,
2026-05-04,STI,,,,
2026-05-04,BSE,,,,
2026-05-04,UKX,,,,
2026-05-04,DAX,,,,
2026-05-04,MOEX,,,,
2026-05-04,LV_R08,"{'lottoType': 'LV_R08', 'mainNumber': '761602', 'B4': '7616', 'B3': '616', 'B2': '16', 'L2': '02', 'T4': '1667', 'T3': '166', 'L3': []}",,,
2026-05-04,LOEX,"{'lottoType': 'LOEX', 'mainNumber': '40854', 'B4': '0854', 'B3': '854', 'B2': '54', 'L3': [], 'L2': '40'}",,,
2026-05-04,LV_R14,"{'lottoType': 'LV_R14', 'mainNumber': '706099', 'B4': '7060', 'B3': '060', 'B2': '60', 'L2': '99', 'T4': '0067', 'T3': '006', 'L3': []}",,,
2026-05-04,LV_R16,"{'lottoType': 'LV_R16', 'mainNumber': '148209', 'B4': '1482', 'B3': '482', 'B2': '82', 'L2': '09', 'T4': '1248', 'T3': '248', 'L3': []}",,,
2026-05-04,LV_R18,"{'lottoType': 'LV_R18', 'mainNumber': '557693', 'B4': '5576', 'B3': '576', 'B2': '76', 'L2': '93', 'T4': '5567', 'T3': '567', 'L3': []}",,,
2026-05-04,SZSEVIP_1,,,,
2026-05-04,GRAND_DRAGON_4D,,,,
2026-05-04,LV_R19,"{'lottoType': 'LV_R19', 'mainNumber': '100734', 'B4': '1007', 'B3': '007', 'B2': '07', 'L2': '34', 'T4': '0017', 'T3': '007', 'L3': []}",,,
2026-05-04,LV_R13,"{'lottoType': 'LV_R13', 'mainNumber': '945567', 'B4': '9455', 'B3': '455', 'B2': '55', 'L2': '67', 'T4': '4559', 'T3': '455', 'L3': []}",,,
2026-05-04,LV_R10,"{'lottoType': 'LV_R10', 'mainNumber': '760377', 'B4': '7603', 'B3': '603', 'B2': '03', 'L2': '77', 'T4': '0367', 'T3': '036', 'L3': []}",,,
2026-05-04,LV_R11,"{'lottoType': 'LV_R11', 'mainNumber': '277614', 'B4': '2776', 'B3': '776', 'B2': '76', 'L2': '14', 'T4': '2677', 'T3': '677', 'L3': []}",,,
2026-05-04,LALOT,,,,
2026-05-04,LV_R21,"{'lottoType': 'LV_R21', 'mainNumber': '849970', 'B4': '8499', 'B3': '499', 'B2': '99', 'L2': '70', 'T4': '4899', 'T3': '499', 'L3': []}",,,
2026-05-04,LASTR,,,,
2026-05-04,Laaoo,,,,
2026-05-04,LV_R22,"{'lottoType': 'LV_R22', 'mainNumber': '811724', 'B4': '8117', 'B3': '117', 'B2': '17', 'L2': '24', 'T4': '1178', 'T3': '117', 'L3': []}",,,
2026-05-04,NKY_1,,,,
2026-05-04,LATV,,,,
2026-05-04,LAHD,,,,
2026-05-04,LATKVIP,,,,
2026-05-04,LASMK,,,,
2026-05-04,LAVIP,,,,
2026-05-04,LATK5D,,,,
2026-05-04,LASTRVIP,,,,
2026-05-04,LV_R17,"{'lottoType': 'LV_R17', 'mainNumber': '904964', 'B4': '9049', 'B3': '049', 'B2': '49', 'L2': '64', 'T4': '0499', 'T3': '049', 'L3': []}",,,
2026-05-04,VNSTR,,,,
2026-05-04,VNTV,,,,
2026-05-04,VNKCH,,,,
2026-05-04,VNSPC_2,,,,
2026-05-04,VNPTN,,,,
2026-05-04,NKYVIP_1,"{'lottoType': 'NKYVIP_1', 'mainNumber': '226', 'B3': '226', 'B2': '26', 'L3': [], 'L2': '09'}",,,
2026-05-04,HSIVIP_1,,,,
